Codi centre,Denominació completa,Nom naturalesa,Nom titularitat,Adreça,Codi postal,Nom comarca,Codi comarca,Codi municipi (5 digits),Codi municipi (6 digits),Nom municipi,Codi districte municipal,Nom DM,Coordenades UTM X,Coordenades UTM Y,Coordenades GEO X,Coordenades GEO Y,Estudis
08000013,Escola Francesc Platón i Sartí,Públic,Departament d'Educació,"c. Salvador Espriu, 3",08630,Baix Llobregat,11,08001,080018,Abrera,00,,408249.726,4596518.584,1.900457916,41.515049613,EINF2C EPRI
08000049,Escola Fabra,Públic,Departament d'Educació,"av. del Bosquet, 1",08328,Maresme,21,08003,080039,Alella,00,,441390.491,4593888.575,2.297838496,41.494473072,EINF2C EPRI
08000086,Escola La Forja - ZER Alt Lluçanès,Públic,Departament d'Educació,"ctra. Lluçanesa, 8",08589,Osona,24,08004,080044,Alpens,00,,425613.591,4663545.525,2.10010879,42.120485359,EINF2C EPRI
08000098,Escola Bertí,Públic,Departament d'Educació,"Antic camí de Caldes, s/n",08480,Vallès Oriental,41,08005,080057,L'Ametlla del Vallès,00,,438404.786,4612998.135,2.260109509,41.666360883,EINF2C EPRI
08000131,La Presentació,Privat,Ordes i Congregacions Catòlics,"c. Pompeu Fabra, 2",08350,Maresme,21,08006,080060,Arenys de Mar,00,,462247.557,4603883.674,2.547075835,41.585754015,EINF2C EPRI ESO BATX CFPM
08000153,Escola Joan Maragall,Públic,Departament d'Educació,"c. Riera Sa Clavella, s/n",08350,Maresme,21,08006,080060,Arenys de Mar,00,,462182.181,4603512.17,2.54631495,41.582404768,EINF2C EPRI
08000165,Escola Sant Martí,Públic,Departament d'Educació,"c. Generalitat, 2",08358,Maresme,21,08007,080076,Arenys de Munt,00,,461549.887,4606472.086,2.53853995,41.609034581,EINF2C EPRI
08000189,Escola Bernat de Riudemeia,Públic,Departament d'Educació,"c. Bernat de Riudemeia, 27",08310,Maresme,21,08009,080095,Argentona,00,,450021.771,4600373.954,2.400699454,41.553471155,EINF2C EPRI
08000220,Vedruna Artés,Privat,Fundacions,"c. Carme, 16",08271,Bages,07,08010,080109,Artés,00,,413022.796,4627878.978,1.953085236,41.798004773,EINF2C EPRI ESO CFPM
08000244,Escola Doctor Ferrer,Públic,Departament d'Educació,"c. Barcelona, 23",08271,Bages,07,08010,080109,Artés,00,,412956.696,4627650.886,1.9523232,41.795943436,EINF2C EPRI
08000271,Escola Santa Maria d'Avià,Públic,Departament d'Educació,"c. Escoles, s/n",08610,Berguedà,14,08011,080116,Avià,00,,402359.062,4659051.837,1.819588336,42.077470674,EINF2C EPRI
08000347,Escola d'Avinyonet del Penedès,Públic,Departament d'Educació,"pg. de la Grava, s/n",08793,Alt Penedès,03,08013,080137,Avinyonet del Penedès,00,,398170.99,4579482.188,1.782569346,41.3604101,EINF2C EPRI
08000359,Escola La Muntanya,Públic,Departament d'Educació,"c. Núria, s/n",08591,Vallès Oriental,41,08014,080142,Aiguafreda,00,,437731.574,4624311.738,2.250841007,41.768202726,EINF2C EPRI
08000384,Escola Lola Anglada,Públic,Departament d'Educació,"c. Riera de Canyadó, 53",08911,Barcelonès,13,08015,080155,Badalona,00,,437881.234,4589740.225,2.256227,41.456845661,EINF2C EPRI
08000396,Escola Ventós i Mir,Públic,Departament d'Educació,"ptge. Ventós i Mir, 29-31",08912,Barcelonès,13,08015,080155,Badalona,00,,436984.454,4588423.606,2.245627785,41.444917282,EINF2C EPRI
08000402,Escola Feliu i Vegués,Públic,Departament d'Educació,"c. Sírius, 2A",08914,Barcelonès,13,08015,080155,Badalona,00,,434884.385,4588440.038,2.220487843,41.444897687,EINF2C EPRI
08000499,Sant Domènec Savio,Privat,Ordes i Congregacions Catòlics,"c. Alfons XII, 111",08912,Barcelonès,13,08015,080155,Badalona,00,,436462.567,4588287.268,2.239395027,41.443648185,EINF2C EPRI ESO AA01 CFPM PFI
